pregunta,a,b,c,d,correcta,materia,tema
"Una disolución es una mezcla homogénea de dos o más sustancias. El componente que se encuentra en mayor proporción se llama:","A) Soluto","B) Solvente o disolvente","C) Concentrado","D) Saturado",B,Química,Soluciones y disoluciones
"La concentración de una solución que expresa los moles de soluto por litro de solución se conoce como:","A) Molalidad","B) Molaridad","C) Normalidad","D) Porcentaje en masa",B,Química,Soluciones y disoluciones
"Un ejemplo de contaminante físico del agua es:","A) Los iones de mercurio","B) Los detergentes","C) La temperatura elevada por descargas industriales","D) Las bacterias patógenas",C,Química,Contaminación del agua
"La eutrofización de cuerpos de agua es causada principalmente por el exceso de:","A) Metales pesados","B) Nutrientes como nitratos y fosfatos","C) Petróleo y sus derivados","D) Residuos radiactivos",B,Química,Contaminación del agua
"¿Cuál es la principal importancia del agua para los seres vivos?","A) Es un medio de transporte de nutrientes y desechos","B) Participa en reacciones químicas metabólicas","C) Regula la temperatura corporal","D) Todas las anteriores",D,Química,Importancia y aplicaciones del agua para la humanidad
"Una práctica para el uso responsable del agua es:","A) Dejar la llave abierta mientras te cepillas los dientes","B) Regar el jardín al mediodía","C) Reparar fugas de agua en el hogar","D) Lavar el auto con manguera sin control",C,Química,Uso respondable y preservación del agua
"El aire es una mezcla de gases que rodea la Tierra. ¿Cuál es su componente más abundante?","A) Oxígeno","B) Dióxido de carbono","C) Nitrógeno","D) Argón",C,Química,¿Qué es el aire?
"En la composición del aire seco, el oxígeno ocupa aproximadamente:","A) 78%","B) 21%","C) 0.93%","D) 0.04%",B,Química,Composición porcentual del aire
"Una reacción de combustión requiere la presencia de:","A) Nitrógeno","B) Dióxido de carbono","C) Oxígeno","D) Vapor de agua",C,Química,Reacciones del oxígeno
"En una reacción de óxido-reducción (redox):","A) Solo hay transferencia de protones","B) Hay transferencia de electrones","C) No hay cambios en los estados de oxidación","D) Solo ocurre la reducción",B,Química,Reacciones de óxido-reducción
"El proceso en el que una sustancia gana electrones se llama:","A) Oxidación","B) Reducción","C) Neutralización","D) Combustión",B,Química,Reacciones de óxido-reducción
"En el ciclo del carbono, los organismos fotosintéticos:","A) Liberan CO2 a la atmósfera","B) Absorben CO2 de la atmósfera","C) Fijan nitrógeno","D) Producen metano",B,Química,Ciclos del oxígeno| nitrógeno y carbono
"El proceso del ciclo del nitrógeno donde bacterias convierten amonio a nitritos y luego a nitratos se llama:","A) Fijación","B) Nitrificación","C) Desnitrificación","D) Amonificación",B,Química,Ciclos del oxígeno nitrógeno y carbono
"¿Cuál de los siguientes es un contaminante primario del aire?","A) Ozono troposférico","B) Lluvia ácida","C) Monóxido de carbono (CO) emitido por automóviles","D) Smog fotoquímico",C,Química,Contaminantes del aire
"El smog fotoquímico se forma principalmente por la reacción de contaminantes primarios bajo la acción de:","A) La lluvia","B) La luz solar","C) El viento","D) Las bajas temperaturas",B,Química,Contaminantes del aire
"Los carbohidratos son compuestos orgánicos que principalmente proporcionan:","A) Energía de rápida utilización","B) Estructura a las membranas celulares","C) Almacenamiento de información genética","D) Catálisis de reacciones metabólicas",A,Química,Carbohidratos
"La glucosa es un ejemplo de:","A) Monosacárido","B) Disacárido","C) Polisacárido","D) Lípido",A,Química,Carbohidratos
"Los lípidos son insolubles en agua debido a que son:","A) Polares","B) Hidrofílicos","C) Hidrofóbicos","D) Iónicos",C,Química,Lípidos
"¿Cuál de los siguientes es un ejemplo de lípido?","A) Glucosa","B) Colesterol","C) Alanina","D) ADN",B,Química,Lípidos
"Las proteínas están formadas por la unión de:","A) Monosacáridos","B) Ácidos grasos","C) Nucleótidos","D) Aminoácidos",D,Química,Proteínas
"La función principal de las enzimas, que son proteínas, es:","A) Almacenar energía","B) Catalizar reacciones bioquímicas","C) Dar estructura a los tejidos","D) Transportar oxígeno",B,Química,Proteínas
"Las vitaminas son nutrientes esenciales porque:","A) El cuerpo las sintetiza en cantidad suficiente","B) Deben obtenerse de la dieta, ya que el cuerpo no las produce o lo hace en cantidad insuficiente","C) Son la principal fuente de energía","D) Son polímeros de aminoácidos",B,Química,Vitaminas y minerales: fuentes e importancia
"La deficiencia de vitamina C causa:","A) Raquitismo","B) Escorbuto","C) Anemia","D) Ceguera nocturna",B,Química,Vitaminas y minerales: fuentes e importancia
"En una reacción química exotérmica:","A) Se absorbe calor del entorno","B) Se libera calor al entorno","C) La temperatura del sistema disminuye","D) La entalpía de los productos es mayor que la de los reactivos",B,Química,Reacciones químicas endotérmicas y exotérmicas
"La fotosíntesis es un proceso que, desde el punto de vista energético, es:","A) Exotérmico","B) Endotérmico","C) Isotérmico","D) Adiabático",B,Química,Reacciones químicas endotérmicas y exotérmicas
"¿Cuál de las siguientes es una propiedad extensiva de la materia?","A) Densidad","B) Punto de fusión","C) Masa","D) Color",C,Química,Sustancias químicas
"El número atómico de un elemento indica:","A) El número de protones en el núcleo","B) La suma de protones y neutrones","C) El número de electrones de valencia","D) La masa del átomo",A,Química,Estructura atómica
"Isótopos de un mismo elemento se diferencian en el número de:","A) Protones","B) Electrones","C) Neutrones","D) Carga nuclear",C,Química,Estructura atómica
"En la tabla periódica, los metales se ubican principalmente:","A) En la parte superior derecha","B) En la parte inferior izquierda","C) En el grupo 18","D) A lo largo de la ""escalera"" que separa metales de no metales",B,Química,Tabla periódica
"¿Cuál de estos elementos es un metal alcalino?","A) Calcio","B) Sodio","C) Aluminio","D) Zinc",B,Química,Tabla periódica
"El SO2 es el óxido de azufre (IV). Su reacción con agua produce:","A) Un óxido básico","B) Un ácido (ácido sulfuroso)","C) Una base","D) Una sal",B,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"La reacción entre un ácido y una base produce:","A) Un óxido y agua","B) Una sal y agua","C) Un óxido y hidrógeno","D) Un peróxido",B,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"¿Cuántos moles hay en 90 gramos de agua (H2O, masa molar=18 g/mol)?","A) 5 moles","B) 0.2 moles","C) 90 moles","D) 1620 moles",A,Química,Mol
"El número de Avogadro (6.022 x 10^23) representa:","A) La masa en gramos de un átomo","B) El número de entidades en un mol de cualquier sustancia","C) La carga de un electrón","D) El número de protones en un núcleo",B,Química,Mol
"La geometría molecular del agua es:","A) Lineal","B) Tetraédrica","C) Angular","D) Plana trigonal",C,Química,Composición del agua y estructura molecular
"Los puentes de hidrógeno en el agua son responsables de:","A) Su baja capacidad calorífica","B) Su alto punto de ebullición en comparación con otros compuestos similares","C) Su capacidad de disolver grasas fácilmente","D) Su carácter iónico",B,Química,Composición del agua y estructura molecular
"La densidad del agua líquida es máxima aproximadamente a:","A) 0°C","B) 4°C","C) 10°C","D) 100°C",B,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"La capacidad del agua para disolver sales iónicas se debe a:","A) Su baja polaridad","B) Su capacidad para hidratar iones (interacción ion-dipolo)","C) Su enlace covalente fuerte","D) Su bajo punto de ebullición",B,Química,Propiedades químicas: tipo de enlace| capacidad (poder) disolvente del agua
"Según la teoría de Brønsted-Lowry, un ácido es:","A) Un donador de pares de electrones","B) Un aceptor de pares de electrones","C) Un donador de protones (H+)","D) Un aceptor de protones (H+)",C,Química,Ácidos y bases
"En la reacción NH3 + H2O ⇌ NH4+ + OH-, el agua actúa como:","A) Ácido de Brønsted-Lowry","B) Base de Brønsted-Lowry","C) Ácido de Arrhenius","D) Sustancia anfótera",A,Química,Ácidos y bases
"Una solución con una concentración de 1 M (molar) contiene:","A) 1 mol de soluto en 1 litro de solución","B) 1 gramo de soluto en 1 litro de solución","C) 1 mol de soluto en 1 kg de solvente","D) 1 equivalente de soluto en 1 litro de solución",A,Química,Soluciones y disoluciones
"El proceso de dilución consiste en:","A) Aumentar la cantidad de soluto","B) Disminuir la cantidad de solvente","C) Aumentar la cantidad de solvente","D) Aumentar la temperatura",C,Química,Soluciones y disoluciones
"La contaminación del agua por mercurio es particularmente peligrosa porque:","A) Aumenta la temperatura del agua","B) Se biomagnifica en las cadenas alimenticias","C) Es fácilmente biodegradable","D) Solo afecta a los peces",B,Química,Contaminación del agua
"¿Cuál es una fuente natural de contaminación del agua?","A) Descargas industriales","B) Aguas residuales domésticas","C) Erupciones volcánicas","D) Derrames de petróleo",C,Química,Contaminación del agua
"En la industria, el agua se utiliza principalmente para:","A) Refrigeración","B) Generación de energía hidroeléctrica","C) Irrigación","D) Todas las anteriores",D,Química,Importancia y aplicaciones del agua para la humanidad
"Una medida de conservación del agua a nivel agrícola es:","A) Usar riego por goteo","B) Cultivar plantas de alto consumo hídrico","C) Incrementar la superficie de riego por inundación","D) Eliminar la capa vegetal del suelo",A,Química,Uso respondable y preservación del agua
"El aire contiene aproximadamente un 0.93% de:","A) Oxígeno","B) Dióxido de carbono","C) Argón","D) Hidrógeno",C,Química,Composición porcentual del aire
"El proceso de respiración celular consume oxígeno y produce:","A) Dióxido de carbono y agua","B) Glucosa y oxígeno","C) Nitrógeno y agua","D) Metano y oxígeno",A,Química,Reacciones del oxígeno
"En la reacción 2Mg + O2 → 2MgO, el magnesio:","A) Se reduce","B) Se oxida","C) Actúa como agente oxidante","D) Gana electrones",B,Química,Reacciones de óxido-reducción
"El agente oxidante en una reacción redox es aquel que:","A) Gana electrones y se reduce","B) Pierde electrones y se oxida","C) Gana protones","D) Pierde protones",A,Química,Reacciones de óxido-reducción
"En el ciclo del oxígeno, el proceso que libera O2 a la atmósfera es:","A) La respiración","B) La combustión","C) La fotosíntesis","D) La descomposición",C,Química,Ciclos del oxígeno| nitrógeno y carbono
"Las bacterias desnitrificantes en el ciclo del nitrógeno convierten nitratos a:","A) Amonio","B) Nitritos","C) Gas nitrógeno (N2)","D) Proteínas",C,Química,Ciclos del oxígeno| nitrógeno y carbono
"El dióxido de azufre (SO2) es un contaminante del aire que puede provocar:","A) Destrucción de la capa de ozono","B) Lluvia ácida","C) Smog fotoquímico","D) Incremento del efecto invernadero",B,Química,Contaminantes del aire
"Los clorofluorocarbonos (CFCs) son contaminantes que afectan principalmente:","A) La calidad del aire en interiores","B) La capa de ozono estratosférico","C) La lluvia ácida","D) La formación de smog",B,Química,Contaminantes del aire
"La celulosa, un componente estructural de las plantas, es un tipo de:","A) Monosacárido","B) Disacárido","C) Polisacárido","D) Lípido",C,Química,Carbohidratos
"La sacarosa (azúcar de mesa) es un disacárido formado por:","A) Glucosa + glucosa","B) Glucosa + fructosa","C) Glucosa + galactosa","D) Fructosa + fructosa",B,Química,Carbohidratos
"Los fosfolípidos son importantes porque forman:","A) Las membranas celulares","B) Las paredes celulares de las plantas","C) Las hormonas esteroides","D) Las reservas energéticas",A,Química,Lípidos
"Los triglicéridos están formados por:","A) Glicerol y tres ácidos grasos","B) Colesterol y ácidos grasos","C) Aminoácidos","D) Nucleótidos",A,Química,Lípidos
"La secuencia específica de aminoácidos en una proteína determina su:","A) Estructura primaria","B) Estructura secundaria","C) Estructura terciaria","D) Estructura cuaternaria",A,Química,Proteínas
"La hemoglobina es una proteína que transporta:","A) Glucosa","B) Lípidos","C) Oxígeno","D) Enzimas",C,Química,Proteínas
"La vitamina D se puede sintetizar en la piel con la exposición al sol. Su deficiencia causa:","A) Escorbuto","B) Beriberi","C) Raquitismo","D) Anemia",C,Química,Vitaminas y minerales: fuentes e importancia
"El hierro es un mineral esencial para la formación de:","A) Huesos y dientes","B) Hemoglobina","C) Hormonas tiroideas","D) Colágeno",B,Química,Vitaminas y minerales: fuentes e importancia
"La reacción de neutralización entre un ácido y una base es generalmente:","A) Endotérmica","B) Exotérmica","C) No libera ni absorbe calor","D) Requiere un catalizador",B,Química,Reacciones químicas endotérmicas y exotérmicas
"En una reacción endotérmica, la entalpía de los productos es:","A) Menor que la de los reactivos","B) Mayor que la de los reactivos","C) Igual que la de los reactivos","D) No relacionada con la de los reactivos",B,Química,Reacciones químicas endotérmicas y exotérmicas
"Una mezcla homogénea de dos o más sustancias puras en proporciones variables es:","A) Un elemento","B) Un compuesto","C) Una solución","D) Un coloide",C,Química,Sustancias químicas
"Los electrones de valencia son:","A) Los electrones más internos","B) Los electrones del núcleo","C) Los electrones del nivel de energía más externo","D) Los electrones desapareados",C,Química,Estructura atómica
"El modelo atómico actual se basa en:","A) El modelo de Dalton","B) El modelo de Thomson","C) El modelo de Bohr","D) La mecánica cuántica",D,Química,Estructura atómica
"En la tabla periódica, los periodos indican:","A) El número de grupos","B) El número de niveles de energía principales","C) El número de electrones de valencia","D) El carácter metálico",B,Química,Tabla periódica
"Los elementos del grupo 17 (VII A) se llaman:","A) Alcalinos","B) Alcalinotérreos","C) Halógenos","D) Gases nobles",C,Química,Tabla periódica
"El CaO (óxido de calcio) reacciona con agua para formar:","A) Ácido clorhídrico","B) Hidróxido de calcio (cal apagada)","C) Carbonato de calcio","D) Óxido de calcio hidratado",B,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"Un ácido fuerte en agua se disocia:","A) Parcialmente","B) Completamente","C) No se disocia","D) Solo a alta temperatura",B,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"Si tienes 2 moles de átomos de carbono, ¿cuántos gramos de carbono tienes? (Masa atómica C=12)","A) 6 g","B) 12 g","C) 24 g","D) 2 g",C,Química,Mol
"¿Cuál es la masa de 0.5 moles de moléculas de oxígeno (O2)? (Masa atómica O=16)","A) 8 g","B) 16 g","C) 32 g","D) 0.5 g",B,Química,Mol
"La polaridad de la molécula de agua es consecuencia de:","A) Su geometría lineal","B) La diferencia de electronegatividad entre O e H y su geometría angular","C) La presencia de enlaces iónicos","D) Su simetría",B,Química,Composición del agua y estructura molecular
"¿Por qué el hielo flota en el agua líquida?","A) Porque el hielo es más denso que el agua líquida","B) Porque el hielo es menos denso que el agua líquida","C) Porque el hielo tiene mayor masa","D) Porque el agua líquida tiene una estructura más ordenada",B,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"La cantidad de calor necesaria para elevar la temperatura de 1 gramo de agua en 1°C es:","A) 1 caloría","B) 1 joule","C) 4.18 calorías","D) 100 calorías",A,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"El agua es un buen disolvente para compuestos iónicos y polares debido a su momento dipolar. ¿Cuál de los siguientes es más probable que sea soluble en agua?","A) Aceite vegetal","B) Benceno (C6H6)","C) Cloruro de sodio (NaCl)","D) Gasolina",C,Química,Propiedades químicas: tipo de enlace| capacidad (poder) disolvente del agua
"Un indicador ácido-base como la fenolftaleína cambia de color según el pH. En medio básico, la fenolftaleína es:","A) Incolora","B) Rosa","C) Roja","D) Amarilla",B,Química,Ácidos y bases
"El jugo gástrico tiene un pH alrededor de 2. Esto significa que es:","A) Muy ácido","B) Ligeramente ácido","C) Neutro","D) Básico",A,Química,Ácidos y bases
"Una solución saturada es aquella que:","A) Contiene la máxima cantidad de soluto que puede disolverse a una temperatura dada","B) Contiene poco soluto","C) Se puede disolver más soluto a la misma temperatura","D) No contiene soluto",A,Química,Soluciones y disoluciones
"Para expresar concentraciones muy bajas, como en contaminantes, se suele usar:","A) Molaridad","B) Partes por millón (ppm)","C) Porcentaje en volumen","D) Normalidad",B,Química,Soluciones y disoluciones
"La presencia de coliformes fecales en el agua indica:","A) Contaminación por metales pesados","B) Contaminación térmica","C) Contaminación por materia orgánica y posible presencia de patógenos","D) Alta salinidad",C,Química,Contaminación del agua
"El proceso de potabilización del agua incluye etapas como:","A) Filtración, cloración y coagulación","B) Evaporación y destilación","C) Electrodiálisis y ósmosis inversa","D) Todas pueden ser usadas",A,Química,Contaminación del agua
"El agua es esencial para la fotosíntesis porque:","A) Es el solvente de los pigmentos","B) Es fuente de electrones para reducir el CO2","C) Regula la apertura de estomas","D) Es un producto de la reacción",B,Química,Importancia y aplicaciones del agua para la humanidad
"La huella hídrica es un indicador que mide:","A) La cantidad de agua contaminada por una persona","B) El uso directo e indirecto de agua por una persona, producto o país","C) La superficie de agua cubierta por un país","D) La profundidad de los acuíferos",B,Química,Uso respondable y preservación del agua
"El componente del aire que varía significativamente con la humedad es:","A) Nitrógeno","B) Oxígeno","C) Vapor de agua","D) Argón",C,Química,¿Qué es el aire?
"El proceso de combustión completa de un hidrocarburo produce:","A) Monóxido de carbono y agua","B) Dióxido de carbono y agua","C) Carbón y agua","D) Óxidos de nitrógeno y agua",B,Química,Reacciones del oxígeno
"En la reacción CuO + H2 → Cu + H2O, el hidrógeno (H2):","A) Se oxida","B) Se reduce","C) Es el agente oxidante","D) No cambia su estado de oxidación",A,Química,Reacciones de óxido-reducción
"El estado de oxidación del oxígeno en la mayoría de sus compuestos es -2, excepto en:","A) Los óxidos básicos","B) Los peróxidos (como H2O2) donde es -1","C) Los superóxidos","D) B y C son correctas",D,Química,Reacciones de óxido-reducción
"El ciclo del carbono incluye procesos como:","A) Fotosíntesis y respiración","B) Fijación de nitrógeno","C) Evaporación","D) Sedimentación",A,Química,Ciclos del oxígeno| nitrógeno y carbono
"El efecto invernadero natural es causado por gases como:","A) Oxígeno y nitrógeno","B) Dióxido de carbono y vapor de agua","C) Helio y argón","D) Ozono a nivel del suelo",B,Química,Ciclos del oxígeno| nitrógeno y carbono
"El monóxido de carbono (CO) es peligroso porque:","A) Contribuye al calentamiento global","B) Forma lluvia ácida","C) Se une a la hemoglobina impidiendo el transporte de oxígeno","D) Destruye la capa de ozono",C,Química,Contaminantes del aire
"Las partículas suspendidas (PM10, PM2.5) en el aire pueden causar:","A) Problemas respiratorios","B) Aumento de la fotosíntesis","C) Mejor visibilidad","D) Disminución de la temperatura",A,Química,Contaminantes del aire
"La lactosa, el azúcar de la leche, es un disacárido formado por:","A) Glucosa + glucosa","B) Glucosa + galactosa","C) Glucosa + fructosa","D) Fructosa + galactosa",B,Química,Carbohidratos
"El almidón es un polisacárido de reserva en plantas, formado por unidades de:","A) Fructosa","B) Galactosa","C) Glucosa","D) Ribosa",C,Química,Carbohidratos
"Las ceras son lípidos que cumplen función de:","A) Reserva energética","B) Impermeabilización","C) Formación de membranas","D) Señalización celular",B,Química,Lípidos
"Los ácidos grasos insaturados:","A) No tienen dobles enlaces","B) Tienen uno o más dobles enlaces","C) Son sólidos a temperatura ambiente","D) Son de origen animal principalmente",B,Química,Lípidos
"La desnaturalización de una proteína implica:","A) La ruptura de los enlaces peptídicos","B) La pérdida de su estructura tridimensional (y por lo tanto de su función)","C) La separación de sus aminoácidos constituyentes","D) La formación de una nueva proteína",B,Química,Proteínas
"Las proteínas que actúan como anticuerpos tienen función:","A) Estructural","B) Inmunológica","C) Transporte","D) Catalítica",B,Química,Proteínas
"La vitamina A es importante para:","A) La coagulación de la sangre","B) La visión y la salud de la piel","C) La absorción del calcio","D) La síntesis de colágeno",B,Química,Vitaminas y minerales: fuentes e importancia
"El calcio es un mineral importante para:","A) La formación de huesos y dientes","B) La función nerviosa y muscular","C) La coagulación de la sangre","D) Todas las anteriores",D,Química,Vitaminas y minerales: fuentes e importancia
"La descomposición de la materia orgánica por microorganismos es generalmente una reacción:","A) Endotérmica","B) Exotérmica","C) Isotérmica","D) Nula en calor",B,Química,Reacciones químicas endotérmicas y exotérmicas
"En una reacción endotérmica, el calor se considera:","A) Un producto","B) Un reactivo","C) Un catalizador","D) No interviene",B,Química,Reacciones químicas endotérmicas y exotérmicas
"¿Cuál de las siguientes es una propiedad intensiva?","A) Volumen","B) Masa","C) Densidad","D) Peso",C,Química,Sustancias químicas
"Los isótopos de hidrógeno (protio, deuterio, tritio) difieren en el número de:","A) Protones","B) Electrones","C) Neutrones","D) Carga eléctrica",C,Química,Estructura atómica
"El número másico de un átomo es:","A) El número de protones","B) El número de electrones","C) La suma de protones y neutrones","D) La suma de protones y electrones",C,Química,Estructura atómica
"Los elementos de transición se encuentran en:","A) Los grupos 1 y 2","B) Los grupos 13 a 18","C) Los bloques d y f","D) El grupo 18",C,Química,Tabla periódica
"La electronegatividad en la tabla periódica tiende a aumentar:","A) De izquierda a derecha en un periodo","B) De arriba hacia abajo en un grupo","C) De derecha a izquierda","D) Solo en los metales",A,Química,Tabla periódica
"El óxido de zinc (ZnO) puede actuar como anfótero, es decir:","A) Solo como ácido","B) Solo como base","C) Como ácido y como base","D) Como agente oxidante",C,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"El ácido clorhídrico (HCl) reacciona con el hidróxido de sodio (NaOH) para formar:","A) NaO y HCl","B) NaCl y H2O","C) NaH y ClOH","D) No reaccionan",B,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"¿Cuántas moléculas hay en 0.25 moles de O2?","A) 1.5 x 10^23","B) 3.0 x 10^23","C) 6.022 x 10^23","D) 1.2 x 10^24",A,Química,Mol
"La masa molar del dióxido de carbono (CO2) es: (C=12, O=16)","A) 28 g/mol","B) 44 g/mol","C) 32 g/mol","D) 12 g/mol",B,Química,Mol
"El ángulo de enlace en la molécula de agua es aproximadamente:","A) 180°","B) 109.5°","C) 104.5°","D) 120°",C,Química,Composición del agua y estructura molecular
"La alta tensión superficial del agua se debe a:","A) Los puentes de hidrógeno entre sus moléculas","B) Su baja densidad","C) Su alta conductividad térmica","D) Su capacidad disolvente",A,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"El calor latente de fusión del agua es la cantidad de calor necesaria para:","A) Subir la temperatura del hielo de -10°C a 0°C","B) Fundir 1 gramo de hielo a 0°C en agua a 0°C","C) Evaporar 1 gramo de agua a 100°C","D) Subir la temperatura del agua de 0°C a 100°C",B,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"Un ejemplo de soluto no electrolito en agua es:","A) NaCl","B) HCl","C) Azúcar (sacarosa)","D) NaOH",C,Química,Propiedades químicas: tipo de enlace| capacidad (poder) disolvente del agua
"Una solución con pH=9 es:","A) Ácida","B) Básica","C) Neutra","D) Fuertemente ácida",B,Química,Ácidos y bases
"La pOH de una solución se relaciona con el pH mediante:","A) pH + pOH = 7","B) pH + pOH = 14","C) pH - pOH = 0","D) pH * pOH = 1",B,Química,Ácidos y bases
"La molaridad de una solución que contiene 0.5 moles de soluto en 2 litros de solución es:","A) 0.25 M","B) 1 M","C) 2 M","D) 4 M",A,Química,Soluciones y disoluciones
"Cuando se añade más soluto a una solución saturada sin cambiar la temperatura, el exceso:","A) Se disuelve","B) Precipita","C) Evapora","D) Se ioniza",B,Química,Soluciones y disoluciones
"La turbidez del agua es un indicador de contaminación:","A) Química","B) Física","C) Biológica","D) Térmica",B,Química,Contaminación del agua
"La bacteria Vibrio cholerae, causante del cólera, se transmite por:","A) Aire contaminado","B) Agua contaminada con heces","C) Contacto con suelo","D) Vectores como mosquitos",B,Química,Contaminación del agua
"El agua participa en la termorregulación de los seres vivos gracias a su:","A) Alta capacidad calorífica específica","B) Baja tensión superficial","C) Baja viscosidad","D) Color transparente",A,Química,Importancia y aplicaciones del agua para la humanidad
"La agricultura de secano es aquella que:","A) Depende solo del agua de lluvia","B) Utiliza riego artificial","C) Se realiza en zonas inundadas","D) No utiliza agua",A,Química,Uso respondable y preservación del agua
"El aire contiene una pequeña pero importante cantidad de dióxido de carbono (CO2) que ronda:","A) 0.04%","B) 0.93%","C) 21%","D) 78%",A,Química,Composición porcentual del aire
"La oxidación lenta de materiales como el hierro en presencia de aire y humedad se llama:","A) Combustión","B) Corrosión","C) Reducción","D) Fermentación",B,Química,Reacciones del oxígeno
