pregunta,a,b,c,d,correcta,materia,tema
"La ingeniería genética permite la producción de insulina humana gracias a la inserción de genes en:","A) Células de la páncreas de cerdo","B) Bacterias como Escherichia coli","C) Levaduras exclusivamente","D) Células madre embrionarias",B,Biología,Mecanismos de la herencia
"El bioma caracterizado por una gran biodiversidad, altas temperaturas y precipitaciones todo el año es:","A) Desierto","B) Tundra","C) Bosque tropical","D) Taiga",C,Biología,Los seres vivos y su ambiente
"¿Cuál de los siguientes es un ejemplo de deterioro ambiental global?","A) Eutrofización de un lago","B) Aumento del efecto invernadero","C) Derrame de petróleo local","D) Deforestación de una pequeña región",B,Biología,Los seres vivos y su ambiente
"Según la teoría endosimbiótica, algunos organelos como las mitocondrias y cloroplastos se originaron a partir de:","A) Invaginaciones de la membrana plasmática","B) Virus ancestrales","C) Células procariotas que fueron fagocitadas","D) Vesículas del retículo endoplásmico",C,Biología,Evolución
"¿Qué enzima es clave en el proceso de replicación del ADN, ya que une los nucleótidos para formar la nueva cadena?","A) ADN ligasa","B) ARN polimerasa","C) ADN polimerasa","D) Helicasa",C,Biología,Mecanismos de la herencia
"El lugar específico que ocupa una especie dentro de un ecosistema, incluyendo su papel y sus interacciones, se denomina:","A) Hábitat","B) Nicho ecológico","C) Bioma","D) Comunidad",B,Biología,Los seres vivos y su ambiente
"En una cadena trófica, los organismos que descomponen la materia orgánica muerta de todos los niveles se llaman:","A) Productores","B) Consumidores primarios","C) Consumidores secundarios","D) Descomponedores",D,Biología,Los seres vivos y su ambiente
"La teoría de la evolución por selección natural fue propuesta conjuntamente por:","A) Gregor Mendel y Charles Darwin","B) Charles Darwin y Alfred Russel Wallace","C) Jean-Baptiste Lamarck y Charles Darwin","D) Charles Lyell y Charles Darwin",B,Biología,Evolución
"En el cruce entre dos individuos heterocigotos (Aa) para un carácter dominante/recesivo, la probabilidad de obtener un homocigoto recesivo (aa) es:","A) 0%","B) 25%","C) 50%","D) 75%",B,Biología,Mecanismos de la herencia
"¿Qué fase de la mitosis se caracteriza por la alineación de los cromosomas en el plano ecuatorial de la célula?","A) Profase","B) Metafase","C) Anafase","D) Telofase",B,Biología,Reproducción
"¿Qué pigmento capta directamente la energía luminosa durante la fotosíntesis?","A) Caroteno","B) Xantofila","C) Clorofila a","D) Clorofila b",C,Biología,Metabolismo celular
"La rama de la biología que estudia la distribución geográfica de los seres vivos y sus causas históricas se llama:","A) Paleontología","B) Biogeografía","C) Ecología","D) Taxonomía",B,Biología,Evolución
"¿Qué estructura celular está formada por una doble bicapa lipídica y contiene poros nucleares?","A) Membrana plasmática","B) Envoltura nuclear","C) Pared celular","D) Cápside",B,Biología,Célula
"¿Cuál de los siguientes procesos ocurre en el citoplasma de la célula?","A) Ciclo de Krebs","B) Cadena de transporte de electrones","C) Glucólisis","D) Síntesis de ARN mensajero",C,Biología,Metabolismo celular
"Una especie que tiene un papel desproporcionadamente grande en la estructura de una comunidad, de modo que su eliminación causa grandes cambios, se denomina especie:","A) Pionera","B) Clave (keystone)","C) Endémica","D) Invasora",B,Biología,Los seres vivos y su ambiente
"¿Qué tipo de ARN lleva la información codificada del ADN en el núcleo a los ribosomas?","A) ARN ribosómico (rARN)","B) ARN mensajero (ARNm)","C) ARN de transferencia (ARNt)","D) ARN interferente (ARNi)",B,Biología,Mecanismos de la herencia
"¿Qué representan los fósiles de transición o formas intermedias en el registro fósil?","A) Evidencia de catástrofes masivas","B) Evidencia de la constancia de las especies","C) Evidencia directa de la evolución de un grupo a otro","D) Evidencia de la generación espontánea",C,Biología,Evolución
"El proceso mediante el cual las poblaciones cambian sus características genéticas a lo largo de generaciones se llama:","A) Homeostasis","B) Evolución","C) Desarrollo ontogenético","D) Metabolismo",B,Biología,Evolución
"¿Qué tipo de reproducción genera descendencia genéticamente idéntica al progenitor?","A) Reproducción sexual","B) Reproducción asexual","C) Reproducción por fecundación cruzada","D) Reproducción con meiosis",B,Biología,Reproducción
"La principal diferencia entre la respiración aerobia y la anaerobia es:","A) La aerobia produce más ATP","B) La anaerobia utiliza oxígeno","C) La aerobia solo ocurre en plantas","D) La anaerobia produce dióxido de carbono",A,Biología,Metabolismo celular
"¿Qué científico realizó experimentos con carne y frascos para refutar la generación espontánea?","A) Louis Pasteur","B) Francesco Redi","C) Stanley Miller","D) Alexander Oparin",B,Biología,Evolución
"¿Qué estructuras análogas son un ejemplo de evolución convergente?","A) Ala de un murciélago y brazo humano","B) Aleta de un delfín y aleta de un tiburón","C) Hoja de una planta y pétalo de una flor","D) Raíz de una planta y hongo micorrízico",B,Biología,Evolución
"¿En qué orgánulo de la célula vegetal se realiza la fotosíntesis?","A) Mitocondria","B) Vacuola","C) Cloroplasto","D) Cromoplasto",C,Biología,Metabolismo celular
"¿Qué se entiende por 'biodiversidad'?","A) Solo la variedad de especies en un área","B) La variedad de genes, especies y ecosistemas en la Tierra","C) El número de individuos de una especie","D) La distribución geográfica de las especies",B,Biología,Evolución
"¿Qué organismo sería un ejemplo de productor en un ecosistema acuático?","A) Pez pequeño","B) Alga microscópica (fitoplancton)","C) Ballena","D) Bacteria descomponedora",B,Biología,Los seres vivos y su ambiente
"¿Qué es un alelo?","A) Un tipo de cromosoma","B) Una forma alternativa de un gen","C) Una mutación deletérea","D) Una secuencia de ARN",B,Biología,Mecanismos de la herencia
"El proceso de conversión del ARN mensajero en una secuencia de aminoácidos se llama:","A) Transcripción","B) Traducción","C) Replicación","D) Transformación",B,Biología,Mecanismos de la herencia
"¿Qué gas de la atmósfera es el principal responsable del calentamiento global antropogénico?","A) Oxígeno","B) Nitrógeno","C) Dióxido de carbono","D) Ozono",C,Biología,Los seres vivos y su ambiente
"¿Qué proceso metabólico permite a algunos organismos obtener energía de compuestos inorgánicos en ausencia de luz?","A) Quimiosíntesis","B) Fotosíntesis","C) Fermentación","D) Glucólisis",A,Biología,Metabolismo celular
"¿Qué se forma al final de la meiosis I?","A) Dos células diploides","B) Dos células haploides","C) Cuatro células haploides","D) Cuatro células diploides",B,Biología,Reproducción
"El flujo de energía en un ecosistema es:","A) Cíclico","B) Bidireccional","C) Unidireccional","D) Aleatorio",C,Biología,Los seres vivos y su ambiente
"¿Qué describe mejor el concepto de 'huella ecológica'?","A) El área de tierra productiva necesaria para sostener el consumo de una población","B) La marca que deja un animal en el suelo","C) El impacto de un depredador en su presa","D) La diversidad de especies en un hábitat",A,Biología,Los seres vivos y su ambiente
"La presencia de restos de pelvis y fémur rudimentarios en las ballenas es un ejemplo de:","A) Órganos análogos","B) Órganos vestigiales","C) Órganos homólogos","D) Convergencia evolutiva",B,Biología,Evolución
"¿Qué proceso aumenta la variabilidad genética en la reproducción sexual?","A) Mitosis","B) Fecundación","C) Gemación","D) Regeneración",B,Biología,Reproducción
"¿Cuál es la unidad básica de la herencia?","A) Cromosoma","B) Gen","C) Nucleótido","D) Aminoácido",B,Biología,Mecanismos de la herencia
"¿Qué científicos propusieron el modelo de la doble hélice para el ADN?","A) Watson y Crick","B) Mendel y Morgan","C) Darwin y Wallace","D) Pasteur y Koch",A,Biología,Mecanismos de la herencia
"La acumulación de DDT en las aves rapaces a través de la cadena alimenticia es un ejemplo de:","A) Eutrofización","B) Bioacumulación","C) Sucesión ecológica","D) Simbiosis",B,Biología,Los seres vivos y su ambiente
"¿Qué nombre recibe la primera etapa de la fotosíntesis, donde se capta la luz y se produce ATP y NADPH?","A) Ciclo de Calvin","B) Fase luminosa","C) Fase oscura","D) Ciclo de Krebs",B,Biología,Metabolismo celular
"¿Qué tipo de mutación consiste en el cambio de un solo nucleótido en una secuencia de ADN?","A) Deleción","B) Duplicación","C) Mutación puntual","D) Inversión",C,Biología,Mecanismos de la herencia
"La relación simbiótica en la que ambas especies se benefician se llama:","A) Comensalismo","B) Mutualismo","C) Parasitismo","D) Competencia",B,Biología,Los seres vivos y su ambiente
"¿Qué teoría propuso que los caracteres adquiridos durante la vida de un organismo podían heredarse?","A) Darwinismo","B) Lamarckismo","C) Mendelismo","D) Neutralismo",B,Biología,Evolución
"¿Cuál es el principal azúcar producto de la fotosíntesis?","A) Fructosa","B) Sacarosa","C) Glucosa","D) Celulosa",C,Biología,Metabolismo celular
"¿Qué proceso de la respiración celular produce la mayor cantidad de ATP?","A) Glucólisis","B) Ciclo de Krebs","C) Cadena de transporte de electrones (fosforilación oxidativa)","D) Fermentación",C,Biología,Metabolismo celular
"La fragmentación y pérdida de hábitats es una de las principales causas de:","A) Aumento de la biodiversidad","B) Especiación alopátrica","C) Extinción de especies","D) Sucesión primaria",C,Biología,Los seres vivos y su ambiente
"¿Qué proceso explica que los cromosomas homólogos intercambien segmentos durante la meiosis?","A) Segregación independiente","B) Entrecruzamiento (crossing-over)","C) Mutación espontánea","D) Replicación semiconservativa",B,Biología,Reproducción
"¿Qué organismo es un ejemplo de consumidor secundario en una pradera?","A) Hierba","B) Saltamontes","C) Serpiente","D) Bacteria",C,Biología,Los seres vivos y su ambiente
"La hipótesis de Oparin-Haldane sobre el origen de la vida propone que:","A) La vida llegó a la Tierra desde el espacio exterior (panspermia).","B) Los primeros seres vivos surgieron a partir de materia inorgánica en una atmósfera reductora.","C) La vida fue creada por un ser divino.","D) Los primeros organismos eran autótrofos.",B,Biología,Evolución
"¿Qué condición se requiere para que ocurra la especiación?","A) Aislamiento geográfico","B) Aislamiento reproductivo","C) Cambios en el fenotipo","D) Mutaciones neutras",B,Biología,Evolución
"¿Cuál es la función principal de los ribosomas?","A) Digestión intracelular","B) Síntesis de lípidos","C) Síntesis de proteínas","D) Transporte de vesículas",C,Biología,Célula
"¿En qué parte de la célula eucariota se encuentran los cromosomas?","A) Citoplasma","B) Ribosoma","C) Núcleo","D) Mitocondria",C,Biología,Célula
"El ciclo del agua, el ciclo del carbono y el ciclo del nitrógeno son ejemplos de:","A) Flujo de energía","B) Ciclos biogeoquímicos","C) Redes tróficas","D) Relaciones intraespecíficas",B,Biología,Los seres vivos y su ambiente
"¿Qué tipo de selección natural favorece los fenotipos extremos y actúa contra el intermedio?","A) Selección estabilizadora","B) Selección direccional","C) Selección disruptiva","D) Selección sexual",C,Biología,Evolución
"La capacidad de un ecosistema para recuperarse después de una perturbación se llama:","A) Sucesión ecológica","B) Resiliencia","C) Homeostasis","D) Productividad primaria",B,Biología,Los seres vivos y su ambiente
"¿Qué vitaminas son liposolubles?","A) Vitamina C y complejo B","B) Vitamina A, D, E y K","C) Vitamina B12 y ácido fólico","D) Vitamina C y D",B,Biología,Metabolismo celular
"¿Qué molécula actúa como 'moneda energética' de la célula?","A) Glucosa","B) ADP","C) ATP","D) NADH",C,Biología,Metabolismo celular
"¿Cuál es la función de los lisosomas?","A) Fotósíntesis","B) Digestión intracelular","C) Síntesis de ATP","D) Almacenamiento de agua",B,Biología,Célula
"La duplicación del centrosoma ocurre durante la fase:","A) G1","B) S","C) G2","D) Mitosis",B,Biología,Reproducción
"¿Qué proceso NO ocurre durante la profase I de la meiosis?","A) Apareamiento de cromosomas homólogos","B) Entrecruzamiento (crossing-over)","C) Separación de cromátidas hermanas","D) Formación de tétradas",C,Biología,Reproducción
"¿Qué enzima desenrolla la doble hélice de ADN durante la replicación?","A) ADN polimerasa","B) Helicasa","C) Ligasa","D) Primasa",B,Biología,Mecanismos de la herencia
"La relación depredador-presa es un ejemplo de:","A) Interacción intraespecífica","B) Interacción interespecífica","C) Simbiosis obligada","D) Comensalismo",B,Biología,Los seres vivos y su ambiente
"¿Qué proceso de la interfase precede inmediatamente a la mitosis?","A) Fase G1","B) Fase S","C) Fase G2","D) Fase G0",C,Biología,Reproducción
"La falta de oxígeno en cuerpos de agua debido al exceso de nutrientes se llama:","A) Acidificación","B) Eutrofización","C) Desertificación","D) Salinización",B,Biología,Los seres vivos y su ambiente
"¿Qué teoría explica el origen de los orgánulos eucariotas como mitocondrias y cloroplastos?","A) Teoría celular","B) Teoría endosimbiótica","C) Teoría de la panspermia","D) Teoría de la generación espontánea",B,Biología,Evolución
"¿Qué proceso convierte el amoniaco (NH3) en nitratos (NO3-) en el ciclo del nitrógeno?","A) Fijación","B) Nitrificación","C) Desnitrificación","D) Amonificación",B,Biología,Los seres vivos y su ambiente
"¿Qué tipo de ARN lleva un aminoácido específico al ribosoma durante la traducción?","A) ARN mensajero (ARNm)","B) ARN ribosómico (rARN)","C) ARN de transferencia (ARNt)","D) ARN pequeño nuclear (snARN)",C,Biología,Mecanismos de la herencia
"¿Qué científico es conocido como el 'padre de la genética'?","A) Charles Darwin","B) Gregor Mendel","C) Thomas Hunt Morgan","D) James Watson",B,Biología,Mecanismos de la herencia
"La extinción de los dinosaurios, según una teoría ampliamente aceptada, fue causada por:","A) Un gran aumento en la actividad volcánica","B) Un impacto de asteroide","C) Un cambio climático gradual","D) La competencia con los mamíferos",B,Biología,Evolución
"¿Qué proceso metabólico es común a la respiración aerobia y a la fermentación?","A) Ciclo de Krebs","B) Cadena de transporte de electrones","C) Glucólisis","D) Fosforilación oxidativa",C,Biología,Metabolismo celular
"¿Qué se entiende por 'fenotipo'?","A) La composición genética de un organismo","B) Las características observables de un organismo","C) Un tipo de mutación","D) Un alelo recesivo",B,Biología,Mecanismos de la herencia
"¿Qué vitaminas son hidrosolubles?","A) Vitaminas A y D","B) Vitaminas C y complejo B","C) Vitaminas E y K","D) Vitaminas D y K",B,Biología,Metabolismo celular
"¿Qué estructura celular está involucrada en el empaquetamiento y modificación de proteínas para su secreción?","A) Retículo endoplásmico liso","B) Aparato de Golgi","C) Mitocondria","D) Núcleo",B,Biología,Célula
"¿Qué tipo de reproducción implica la fusión de gametos?","A) Reproducción asexual","B) Reproducción sexual","C) Bipartición","D) Esporulación",B,Biología,Reproducción
"¿Qué organismo realiza la fermentación alcohólica?","A) Bacterias del ácido láctico","B) Levaduras","C) Células musculares humanas","D) Plantas",B,Biología,Metabolismo celular
"¿Qué elemento es el principal constituyente de las moléculas orgánicas?","A) Oxígeno","B) Nitrógeno","C) Carbono","D) Hidrógeno",C,Biología,Metabolismo celular
"¿Qué proceso de la respiración celular ocurre en la matriz mitocondrial?","A) Glucólisis","B) Ciclo de Krebs","C) Cadena de transporte de electrones","D) Fermentación",B,Biología,Metabolismo celular
"¿Qué nombre recibe la capa de ozono y por qué es importante?","A) Troposfera, filtra rayos infrarrojos","B) Estratosfera, filtra rayos ultravioleta","C) Mesosfera, filtra rayos gamma","D) Termosfera, filtra rayos X",B,Biología,Los seres vivos y su ambiente
"¿Qué término describe el movimiento de moléculas de un área de alta concentración a una de baja concentración sin gasto de energía?","A) Transporte activo","B) Difusión","C) Ósmosis","D) Endocitosis",B,Biología,Célula
"¿Qué proceso implica el paso de agua a través de una membrana semipermeable?","A) Difusión facilitada","B) Ósmosis","C) Transporte activo","D) Fagocitosis",B,Biología,Célula
"¿Qué estructura permite el movimiento de algunas células como los espermatozoides?","A) Cilios","B) Flagelos","C) Pseudópodos","D) Microvellosidades",B,Biología,Célula
"¿Qué tipo de tejido vegetal es responsable del crecimiento en longitud de la planta?","A) Meristemo apical","B) Parénquima","C) Colénquima","D) Esclerénquima",A,Biología,Reproducción
"¿Qué hormonas vegetales promueven el crecimiento celular y la elongación del tallo?","A) Auxinas","B) Giberelinas","C) Citoquininas","D) Etileno",A,Biología,Reproducción
"¿Qué proceso de la meiosis garantiza que cada gameto reciba un cromosoma de cada par homólogo?","A) Entrecruzamiento","B) Segregación independiente","C) Replicación del ADN","D) Condensación cromosómica",B,Biología,Reproducción
"¿Qué tipo de herencia presenta un fenotipo intermedio en los heterocigotos?","A) Dominancia completa","B) Codominancia","C) Herencia intermedia","D) Herencia ligada al sexo",C,Biología,Mecanismos de la herencia
"¿Qué enfermedad humana es un ejemplo de herencia ligada al cromosoma X?","A) Fenilcetonuria","B) Hemofilia","C) Síndrome de Down","D) Anemia falciforme",B,Biología,Mecanismos de la herencia
"¿Qué técnica de ingeniería genética permite amplificar pequeñas cantidades de ADN?","A) Electroforesis","B) PCR (Reacción en Cadena de la Polimerasa)","C) Clonación","D) Secuenciación",B,Biología,Mecanismos de la herencia
"¿Qué organismo fue el primero en ser modificado genéticamente para producir insulina humana?","A) Ratón","B) Cerdo","C) Levadura","D) Bacteria",D,Biología,Mecanismos de la herencia
"¿Qué científico propuso la teoría de la evolución por selección natural en su libro 'El origen de las especies'?","A) Alfred Russel Wallace","B) Jean-Baptiste Lamarck","C) Charles Darwin","D) Gregor Mendel",C,Biología,Evolución
"¿Qué tipo de evidencia evolutiva se basa en la similitud en las etapas tempranas del desarrollo embrionario?","A) Evidencia anatómica","B) Evidencia paleontológica","C) Evidencia embriológica","D) Evidencia molecular",C,Biología,Evolución
"¿Qué proceso evolutivo ocurre cuando una población pequeña se separa y funda una nueva población con una composición genética diferente?","A) Efecto fundador","B) Cuello de botella","C) Deriva génica","D) Migración",A,Biología,Evolución
"¿Qué término describe la formación de nuevas especies?","A) Adaptación","B) Especiación","C) Radiación adaptativa","D) Convergencia evolutiva",B,Biología,Evolución
"¿Qué organismo es un ejemplo de un descomponedor?","A) Árbol","B) Conejo","C) Hongo","D) Halcón",C,Biología,Los seres vivos y su ambiente
"¿Qué tipo de interacción ocurre cuando dos especies compiten por el mismo recurso limitado?","A) Mutualismo","B) Competencia","C) Parasitismo","D) Comensalismo",B,Biología,Los seres vivos y su ambiente
"¿Qué gas es un subproducto de la descomposición anaeróbica de la materia orgánica en los vertederos?","A) Oxígeno","B) Dióxido de carbono","C) Metano","D) Nitrógeno",C,Biología,Los seres vivos y su ambiente
"¿Qué proceso ecológico implica el reemplazo gradual de una comunidad por otra hasta llegar a una comunidad clímax?","A) Sucesión ecológica","B) Eutrofización","C) Homeostasis","D) Biomasa",A,Biología,Los seres vivos y su ambiente
"¿Qué capa de la Tierra contiene a todos los seres vivos?","A) Atmósfera","B) Hidrosfera","C) Litosfera","D) Biosfera",D,Biología,Los seres vivos y su ambiente
"¿Qué proceso de la fotosíntesis fija el dióxido de carbono en moléculas orgánicas?","A) Fase luminosa","B) Ciclo de Calvin","C) Fotólisis del agua","D) Glucólisis",B,Biología,Metabolismo celular
"¿Qué molécula es el aceptor final de electrones en la cadena de transporte de electrones de la respiración aerobia?","A) NAD+","B) Oxígeno","C) Agua","D) Dióxido de carbono",B,Biología,Metabolismo celular
"¿Qué producto se forma en el ciclo de Krebs aparte de ATP, NADH y FADH2?","A) Glucosa","B) Ácido pirúvico","C) Dióxido de carbono","D) Oxígeno",C,Biología,Metabolismo celular
"¿Qué tipo de reproducción asexual ocurre en las estrellas de mar cuando un brazo se separa y regenera un organismo completo?","A) Gemación","B) Fisión binaria","C) Fragmentación","D) Esporulación",C,Biología,Reproducción
"¿Qué proceso celular está controlado por los genes supresores de tumores?","A) Apoptosis","B) Mitosis","C) Meiosis","D) Endocitosis",A,Biología,Reproducción
"¿Qué técnica permite separar fragmentos de ADN por tamaño?","A) PCR","B) Electroforesis en gel","C) Clonación","D) Transformación bacteriana",B,Biología,Mecanismos de la herencia
"¿Qué teoría propone que las especies cambian gradualmente a lo largo del tiempo?","A) Catastrofismo","B) Gradualismo","C) Equilibrio puntuado","D) Uniformitarianismo",B,Biología,Evolución
"¿Qué tipo de estructura anatómica es el apéndice humano?","A) Estructura homóloga","B) Estructura análoga","C) Estructura vestigial","D) Estructura adaptativa",C,Biología,Evolución
"¿Qué proceso de la dinámica de poblaciones describe el crecimiento sin restricciones?","A) Crecimiento exponencial","B) Crecimiento logístico","C) Capacidad de carga","D) Sucesión ecológica",A,Biología,Los seres vivos y su ambiente
"¿Qué contaminante del aire puede causar lluvia ácida?","A) Dióxido de carbono","B) Ozono","C) Dióxido de azufre","D) Monóxido de carbono",C,Biología,Los seres vivos y su ambiente
"¿Qué proceso metabólico ocurre en los cloroplastos?","A) Respiración celular","B) Fotosíntesis","C) Fermentación","D) Glucólisis",B,Biología,Metabolismo celular
"¿Qué estructura celular contiene el material genético (ADN)?","A) Ribosoma","B) Núcleo","C) Mitocondria","D) Cloroplasto",B,Biología,Célula
"¿Qué tipo de célula carece de núcleo y de organelos membranosos?","A) Eucariota","B) Procariota","C) Vegetal","D) Animal",B,Biología,Célula
"¿Qué proceso implica la conversión de luz solar en energía química?","A) Respiración","B) Fotosíntesis","C) Quimiosíntesis","D) Fermentación",B,Biología,Metabolismo celular
"¿Qué gas es necesario para la respiración celular aerobia?","A) Dióxido de carbono","B) Nitrógeno","C) Oxígeno","D) Hidrógeno",C,Biología,Metabolismo celular
"¿Qué tipo de división celular produce gametos?","A) Mitosis","B) Meiosis","C) Bipartición","D) Gemación",B,Biología,Reproducción
"¿Qué científico realizó experimentos con chícharos para establecer las leyes de la herencia?","A) Charles Darwin","B) Gregor Mendel","C) Thomas Hunt Morgan","D) James Watson",B,Biología,Mecanismos de la herencia
"¿Qué teoría explica la diversidad de las especies mediante la selección natural?","A) Teoría celular","B) Teoría cromosómica","C) Teoría de la evolución","D) Teoría de la generación espontánea",C,Biología,Evolución
"¿Qué componente de un ecosistema incluye a todos los seres vivos?","A) Biotopo","B) Biocenosis","C) Hábitat","D) Nicho ecológico",B,Biología,Los seres vivos y su ambiente
"¿Qué proceso metabólico descompone la glucosa en ausencia de oxígeno?","A) Respiración aerobia","B) Fermentación","C) Ciclo de Krebs","D) Cadena de transporte de electrones",B,Biología,Metabolismo celular
"¿Qué organelo celular es responsable de la digestión intracelular?","A) Mitocondria","B) Lisosoma","C) Aparato de Golgi","D) Retículo endoplásmico",B,Biología,Célula
"¿Qué etapa de la mitosis se caracteriza por la separación de las cromátidas hermanas?","A) Profase","B) Metafase","C) Anafase","D) Telofase",C,Biología,Reproducción
"¿Qué tipo de herencia muestra un patrón de herencia donde ambos alelos se expresan por igual en el heterocigoto?","A) Dominancia completa","B) Codominancia","C) Herencia intermedia","D) Herencia ligada al sexo",B,Biología,Mecanismos de la herencia
"¿Qué técnica de ADN recombinante se utiliza para producir múltiples copias de un gen?","A) Electroforesis","B) Clonación génica","C) Secuenciación","D) PCR",B,Biología,Mecanismos de la herencia
"¿Qué teoría propone que la vida en la Tierra llegó del espacio exterior?","A) Generación espontánea","B) Panspermia","C) Endosimbiosis","D) Abiogénesis",B,Biología,Evolución
"¿Qué tipo de evidencia evolutiva se basa en la similitud de secuencias de ADN entre especies?","A) Evidencia anatómica","B) Evidencia paleontológica","C) Evidencia molecular","D) Evidencia biogeográfica",C,Biología,Evolución
"¿Qué proceso ecológico describe la relación entre depredador y presa?","A) Competencia","B) Depredación","C) Mutualismo","D) Parasitismo",B,Biología,Los seres vivos y su ambiente
"¿Qué gas es producido por la fotosíntesis y utilizado por la respiración?","A) Dióxido de carbono","B) Oxígeno","C) Nitrógeno","D) Metano",B,Biología,Metabolismo celular
"¿Qué tipo de célula tiene una pared celular de celulosa?","A) Célula animal","B) Célula vegetal","C) Célula bacteriana","D) Célula fúngica",B,Biología,Célula
"¿Qué proceso metabólico produce la mayor cantidad de ATP por molécula de glucosa?","A) Glucólisis","B) Fermentación","C) Respiración aerobia","D) Respiración anaerobia",C,Biología,Metabolismo celular
"¿Qué tipo de reproducción resulta en mayor variabilidad genética?","A) Reproducción asexual","B) Reproducción sexual","C) Bipartición","D) Gemación",B,Biología,Reproducción
"¿Qué ley de Mendel establece que los alelos para diferentes caracteres se distribuyen independientemente durante la formación de gametos?","A) Primera ley","B) Segunda ley","C) Tercera ley","D) Ley de la dominancia",B,Biología,Mecanismos de la herencia
"¿Qué teoría propone que los cromosomas son los portadores de los genes?","A) Teoría cromosómica de la herencia","B) Teoría de la evolución","C) Teoría celular","D) Teoría de la pangénesis",A,Biología,Mecanismos de la herencia
"¿Qué tipo de selección natural favorece a los fenotipos intermedios?","A) Selección direccional","B) Selección disruptiva","C) Selección estabilizadora","D) Selección sexual",C,Biología,Evolución
"¿Qué proceso ecológico describe el movimiento de energía y materia a través de los niveles tróficos?","A) Ciclo biogeoquímico","B) Flujo de energía","C) Sucesión ecológica","D) Competencia",B,Biología,Los seres vivos y su ambiente
"¿Qué contaminante del agua es resultado del exceso de fertilizantes?","A) Plomo","B) Mercurio","C) Nitratos","D) Petróleo",C,Biología,Los seres vivos y su ambiente
"¿Qué organelo celular es responsable de la síntesis de lípidos?","A) Retículo endoplásmico liso","B) Retículo endoplásmico rugoso","C) Aparato de Golgi","D) Mitocondria",A,Biología,Célula
"¿Qué fase de la meiosis es similar a la mitosis?","A) Meiosis I","B) Meiosis II","C) Profase I","D) Metafase I",B,Biología,Reproducción
