pregunta,a,b,c,d,correcta,materia,tema
"Durante el siglo XIX, la lucha entre liberales y conservadores giraba en torno a:","A) Adoptar el socialismo","B) Establecer un Estado laico vs. mantener privilegios del Antiguo Régimen","C) Elegir entre monarquía o república","D) Expandir territorios coloniales",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Los conservadores del siglo XIX defendían:","A) Cambio social revolucionario","B) Tradición, orden y autoridad","C) Soberanía popular","D) Igualdad económica absoluta",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"El Congreso de Viena (1814-1815) buscó principalmente:","A) Expandir ideas revolucionarias","B) Restaurar el Antiguo Régimen y el equilibrio de poder","C) Promover independencias americanas","D) Crear la ONU",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"El socialismo científico o marxismo fue formulado por:","A) Robert Owen y Charles Fourier","B) Karl Marx y Friedrich Engels","C) Mijaíl Bakunin y Pierre-Joseph Proudhon","D) Henri de Saint-Simon",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"La frase ""¡Proletarios de todos los países, uníos!"" aparece en:","A) El Capital","B) Manifiesto Comunista","C) La riqueza de las naciones","D) El contrato social",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Según el marxismo, el motor de la historia es:","A) La acción de grandes personajes","B) La lucha de clases","C) La voluntad divina","D) El desarrollo tecnológico",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"El anarquismo proponía:","A) Un Estado fuerte","B) Abolición de toda forma de gobierno","C) Dictadura temporal del partido","D) Retorno a la monarquía",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"La Comuna de París (1871) fue un:","A) Gobierno monárquico","B) Gobierno obrero y popular","C) Consejo de industriales","D) Parlamento conservador",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"El proceso de unificación alemana fue dirigido por:","A) Austria","B) Prusia bajo Otto von Bismarck","C) Baviera","D) Confederación del Rin",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"La política de ""sangre y hierro"" está asociada a:","A) Garibaldi","B) Napoleón III","C) Bismarck","D) Cavour",C,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"La unificación italiana contó con el liderazgo de:","A) Víctor Manuel II","B) Giuseppe Mazzini","C) Camillo Benso, conde de Cavour","D) Todos los anteriores",D,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Giuseppe Garibaldi es conocido por:","A) Dirigir la expedición de los Mil Camisas Rojas","B) Ser el primer rey de Italia","C) Negociar con Francia","D) Escribir el manifiesto nacionalista",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"El nacionalismo del siglo XIX se basaba en la idea de nación definida por:","A) Lealtad a un monarca","B) Lengua, cultura e historia comunes","C) Adhesión a una religión","D) Lazos de clase económica",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"El imperialismo del siglo XIX se motivó principalmente por:","A) Razones humanitarias","B) Búsqueda de materias primas, mercados y prestigio","C) Deseo de equilibrar población","D) Difundir democracia",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"La Conferencia de Berlín (1884-1885) organizó:","A) La guerra al Imperio Otomano","B) El reparto de África","C) Una alianza contra EE.UU.","D) Fronteras de los Balcanes",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"El ""Darwinismo Social"" justificaba el imperialismo argumentando:","A) Ayuda igualitaria a todas las naciones","B) Derecho de naciones ""superiores"" a dominar ""inferiores""","C) Competencia imperial perjudicial","D) Fortalecimiento de las colonias",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"La expansión imperial fue facilitada por avances como:","A) La imprenta","B) Ferrocarril, barco de vapor y quinina","C) La rueda","D) La brújula",B,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"La teoría de la relatividad fue desarrollada por:","A) Marie Curie","B) Isaac Newton","C) Thomas Edison","D) Albert Einstein",D,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"El detonante inmediato de la Primera Guerra Mundial fue:","A) Invasión de Polonia","B) Asesinato del archiduque Francisco Fernando","C) Firma de la Triple Alianza","D) Revolución Rusa",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Las alianzas enfrentadas al inicio de la Primera Guerra Mundial eran:","A) Triple Alianza y Triple Entente","B) Aliados y Potencias del Eje","C) OTAN y Pacto de Varsovia","D) Liga de las Naciones y el Eje",A,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"La Primera Guerra Mundial se caracterizó por la guerra de:","A) Movimientos rápidos","B) Trincheras","C) Guerrillas","D) Desgaste naval",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Nuevo armamento usado masivamente en la Primera Guerra Mundial:","A) Bomba atómica","B) Tanques, aviones y gas venenoso","C) Misiles balísticos","D) Drones",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"La ""Paz Armada"" antes de 1914 se refiere a:","A) Desarme general","B) Carrera armamentista y alianzas rivales","C) Ausencia de conflictos","D) Hegemonía pacífica de EE.UU.",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"La Revolución Rusa de 1917 que llevó al poder a los bolcheviques fue liderada por:","A) León Trotsky","B) Vladimir Lenin","C) Joseph Stalin","D) Alexander Kerensky",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"El Tratado de Versalles impuso a Alemania:","A) Pérdida de territorios, desmilitarización y reparaciones","B) Anulación de todas las deudas","C) Expansión colonial","D) Unión con Austria",A,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"La Sociedad de Naciones se creó para:","A) Repartir colonias","B) Promover paz y cooperación internacional","C) Establecer un gobierno mundial","D) Administrar el Plan Marshall",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"La Gran Depresión inició con el crack bursátil de:","A) Londres","B) París","C) Nueva York","D) Berlín",C,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"El ""New Deal"" fue aplicado en EE.UU. por el presidente:","A) Herbert Hoover","B) Franklin D. Roosevelt","C) Woodrow Wilson","D) Calvin Coolidge",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"La hiperinflación en Alemania en 1923 se debió a:","A) Efectos del New Deal","B) Impresión masiva de dinero para pagar reparaciones","C) Especulación extranjera","D) Prosperidad de los años 20",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"Régimen totalitario fascista en Italia liderado por:","A) Adolf Hitler","B) Benito Mussolini","C) Francisco Franco","D) Joseph Stalin",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"La ideología nacionalsocialista promovía:","A) Internacionalismo proletario","B) Expansionismo y supremacía aria","C) Democracia parlamentaria","D) Libre comercio global",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"El libro ""Mein Kampf"" fue escrito por:","A) Mussolini","B) Hitler","C) Franco","D) Stalin",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"La ""Noche de los cristales rotos"" (1938) fue:","A) Una celebración nazi","B) Un pogromo contra judíos en Alemania","C) Bombardeo de Londres","D) Invasión de Polonia",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"El inicio de la Segunda Guerra Mundial en Europa fue marcado por:","A) Ataque a Pearl Harbor","B) Invasión de Polonia por Alemania","C) Batalla de Stalingrado","D) Desembarco de Normandía",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Los bloques enfrentados en la Segunda Guerra Mundial fueron:","A) Aliados y Potencias del Eje","B) OTAN y Pacto de Varsovia","C) Triple Entente y Triple Alianza","D) Liga de las Naciones y el Eje",A,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"El ataque a Pearl Harbor provocó la entrada de:","A) Alemania a la guerra","B) EE.UU. a la guerra","C) URSS a la guerra","D) Italia a la guerra",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La batalla de Stalingrado fue decisiva porque:","A) Marcó la liberación de París","B) Fue la primera gran derrota alemana en el frente oriental","C) Supuso la rendición de Italia","D) Abrió el frente africano",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"El Día D se refiere al:","A) Día de la rendición de Japón","B) Desembarco aliado en Normandía","C) Día de la caída de Berlín","D) Ataque a Pearl Harbor",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Las bombas atómicas sobre Hiroshima y Nagasaki llevaron a:","A) Rendición de Alemania","B) Entrada de Italia","C) Rendición de Japón y fin de la guerra","D) Inicio de Guerra de Corea",C,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"La ONU se fundó en:","A) 1919","B) 1945","C) 1955","D) 1989",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Los Juicios de Núremberg juzgaron a:","A) Líderes japoneses","B) Líderes nazis por crímenes de guerra","C) Líderes fascistas italianos","D) Soldados rasos",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Tras la Segunda Guerra Mundial, el mundo quedó dividido en bloques liderados por:","A) Reino Unido y Francia","B) EE.UU. y URSS","C) Alemania y Japón","D) China e India",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Los bloques de poder"
"El período de tensión sin confrontación directa entre EE.UU. y URSS se llama:","A) Guerra Caliente","B) Guerra de Desgaste","C) Guerra Fría","D) Coexistencia Pacífica",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La Doctrina Truman promovía:","A) Aislacionismo estadounidense","B) Contención del comunismo con ayuda económica y militar","C) Coexistencia pacífica","D) Descolonización de Asia",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La alianza militar del bloque occidental creada en 1949 fue:","A) Pacto de Varsovia","B) OTAN","C) OEA","D) CEE",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Como respuesta a la OTAN, la URSS creó:","A) El Eje","B) Triple Entente","C) Pacto de Varsovia","D) Comecón",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"El Muro de Berlín fue un símbolo de:","A) Unión europea","B) División de Europa durante la Guerra Fría","C) Prosperidad alemana","D) Caída del comunismo",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La crisis de los misiles en Cuba (1962) enfrentó a:","A) EE.UU. y China","B) EE.UU. y URSS","C) URSS y China","D) Cuba y México",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La Guerra de Corea (1950-1953) enfrentó a:","A) Corea del Norte (apoyada por URSS/China) y Corea del Sur (apoyada por EE.UU./ONU)","B) Solo las dos Coreas","C) EE.UU. y URSS directamente","D) China y Japón",A,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La Guerra de Vietnam fue un conflicto donde:","A) URSS invadió Vietnam del Sur","B) Vietnam del Norte y el Vietcong enfrentaron a Vietnam del Sur y EE.UU.","C) China ocupó todo Vietnam","D) Fue una guerra rápida",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"El proceso de descolonización después de 1945 implicó:","A) Formación de nuevos imperios","B) Independencia de colonias y creación de nuevos Estados","C) Fusión de colonias","D) Continuación del dominio europeo",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"El líder indio de la resistencia no violenta fue:","A) Jawaharlal Nehru","B) Muhammad Ali Jinnah","C) Mahatma Gandhi","D) Indira Gandhi",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"La Conferencia de Bandung (1955) reunió a países de:","A) Europa y América","B) Asia y África recién independizados","C) Bloque soviético","D) Bloque capitalista",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"El apartheid fue un sistema de segregación en:","A) Estados Unidos","B) India","C) Sudáfrica","D) Australia",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"La caída del Muro de Berlín en 1989 simbolizó:","A) Inicio de Segunda Guerra Mundial","B) Fortalecimiento del comunismo","C) Fin de la Guerra Fría y colapso soviético","D) Reunificación inmediata de Europa",C,Historia Universal,"El mundo actual, La caída del bloque soviético"
"La Unión Soviética se disolvió oficialmente en:","A) 1989","B) 1991","C) 1945","D) 1975",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"La globalización es el proceso de:","A) Aislamiento económico","B) Interdependencia económica y cultural mundial","C) Fortalecimiento de fronteras","D) Desaparición del comercio",B,Historia Universal,"El mundo actual, La globalización económica y política"
"Internet es un ejemplo de:","A) Retroceso comunicativo","B) Desarrollo científico-tecnológico con impacto global","C) Iniciativa solo militar","D) Política de aislamiento",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"La Unión Europea es un ejemplo de:","A) Imperio colonial","B) Bloque militar agresivo","C) Integración económica y política regional","D) Estado nacional unitario",C,Historia Universal,"El mundo actual, La globalización económica y política"
"Entre los problemas globales actuales están:","A) Desaparición de conflictos","B) Fin de desigualdades","C) Cambio climático y terrorismo internacional","D) Vuelta al aislamiento total",C,Historia Universal,"El mundo actual, La globalización económica y política"
"La Historia como ciencia estudia el pasado a través de:","A) Mitos y leyendas","B) Análisis crítico de fuentes","C) Adivinación","D) Tradición oral exclusivamente",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"La periodización que divide en a.C. y d.C. tiene origen:","A) Cristiano","B) Musulmán","C) Judío","D) Romano",A,Historia Universal,"La Historia, Periodización de la Historia"
"La Ilustración consideraba la fuente principal del conocimiento en:","A) Fe y revelación","B) Tradición y autoridad","C) Razón y experiencia","D) Sentimientos y emociones",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"El despotismo ilustrado se resume en:","A) ""Todo para el pueblo, sin el pueblo""","B) ""¡Proletarios, uníos!""","C) ""El Estado soy yo""","D) ""Libertad, igualdad, fraternidad""",A,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"John Locke defendía que la soberanía reside en:","A) El rey","B) El pueblo","C) La Iglesia","D) El ejército",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"La burguesía es la clase propietaria de:","A) Tierra y títulos","B) Medios de producción (capital, fábricas)","C) Solo fuerza de trabajo","D) Cargos eclesiásticos",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"La frase ""El hombre nace libre, pero en todas partes se encuentra encadenado"" es de:","A) Adam Smith","B) Voltaire","C) Rousseau","D) Montesquieu",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"El liberalismo económico defiende que los precios se regulan por:","A) Decretos gubernamentales","B) Oferta y demanda (""mano invisible"")","C) Sindicatos","D) Planes quinquenales",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"El sufragio censitario otorgaba voto a:","A) Todos los adultos","B) Hombres con cierta propiedad o renta","C) Clero y nobleza","D) Extranjeros",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"La Santa Alianza (1815) agrupaba a:","A) Países liberales","B) Monarquías absolutistas para reprimir revoluciones","C) Estados italianos","D) Países descolonizados",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"El ""Manifiesto Comunista"" se publicó en:","A) 1789","B) 1848","C) 1917","D) 1867",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Para Marx, el proletariado vende su:","A) Propiedad","B) Fuerza de trabajo","C) Conocimiento","D) Lealtad",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"El ""Risorgimento"" fue el movimiento por la unificación de:","A) Alemania","B) Italia","C) Grecia","D) Estados Unidos",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"La batalla de Sadowa (1866) enfrentó a Prusia contra:","A) Francia","B) Austria","C) Dinamarca","D) Rusia",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"El nacionalismo pangermánico buscaba unir a:","A) Todos los pueblos germánicos","B) Solo los estados alemanes del norte","C) Alemania y Francia","D) Imperio Austrohúngaro",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"La explotación de caucho en África ejemplifica la motivación _________ del imperialismo.","A) Humanitaria","B) Económica","C) Religiosa","D) Deportiva",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"El motor de combustión interna impulsó el:","A) Telégrafo","B) Automóvil","C) Teléfono","D) Barco de vela",B,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"El sistema de alianzas antes de 1914 contribuyó a la guerra porque:","A) Garantizaba paz","B) Convertía conflictos locales en guerra general","C) Desarmaba naciones","D) Fomentaba libre comercio",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"La batalla de Verdún (1916) es símbolo de:","A) Guerra de movimientos","B) Guerra de desgaste con enormes bajas","C) Guerra naval","D) Entrada de EE.UU.",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"La guerra submarina sin restricciones fue usada por:","A) Gran Bretaña","B) Alemania","C) Francia","D) Rusia",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Los bolcheviques tomaron el poder en Rusia en la Revolución de:","A) Febrero 1917","B) Octubre 1917","C) Julio 1914","D) Marzo 1918",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"El Tratado de Brest-Litovsk (1918) significó para Rusia:","A) Gran victoria","B) Salida de la guerra cediendo territorios","C) Entrada en la Sociedad de Naciones","D) Inicio de colectivización",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Los ""Catorce Puntos"" para la paz fueron propuestos por:","A) Lloyd George","B) Georges Clemenceau","C) Woodrow Wilson","D) Vittorio Orlando",C,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"El crack bursátil de 1929 se debió en parte a:","A) Subproducción","B) Especulación y sobreendeudamiento","C) Exceso de regulación","D) Paz duradera",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"El New Deal incluía programas de:","A) Control migratorio","B) Obras públicas y empleo","C) Espionaje","D) Expansión militar",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"El fascismo surgió en contexto de:","A) Prosperidad","B) Crisis económica y miedo al comunismo","C) Victoria en la guerra","D) Presión descolonizadora",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"El nazismo culpaba a los judíos de:","A) Derrota en Segunda Guerra","B) Problemas de Alemania post Primera Guerra","C) Inventar el liberalismo","D) Ser terratenientes",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"La ""Marcha sobre Roma"" (1922) llevó a Mussolini a:","A) Ser arrestado","B) Ser nombrado primer ministro","C) Escapar","D) Derrotar aliados",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"El ""Gran Terror"" en la URSS (1936-38) buscó:","A) Mejorar condiciones de vida","B) Eliminar oposición real o imaginaria","C) Fomentar democracia","D) Preparar invasión a Alemania",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Hitler violó el Tratado de Versailles con:","A) Desarme","B) Remilitarización de Renania y Anschluss","C) Devolución de colonias","D) Pago de reparaciones",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La batalla de Midway (1942) fue punto de inflexión en:","A) Frente europeo","B) Guerra del Pacífico","C) Frente africano","D) Batalla del Atlántico",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"La Conferencia de Teherán (1943) reunió a:","A) Hitler, Mussolini, Hirohito","B) Churchill, Roosevelt, Stalin","C) Truman, Attlee, Stalin","D) De Gaulle, Eisenhower, Churchill",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"La Segunda Guerra Mundial terminó en Europa en:","A) 1944","B) 1945","C) 1946","D) 1943",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"La ""Guerra Fría"" comenzó tras:","A) Primera Guerra Mundial","B) Revolución Rusa","C) Segunda Guerra Mundial","D) Caída del Muro de Berlín",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"El Plan Marshall fue rechazado por:","A) Gran Bretaña","B) URSS y sus satélites","C) Alemania Occidental","D) Italia",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"El Muro de Berlín se construyó para:","A) Proteger Berlín Occidental","B) Detener fuga de Alemania Oriental a Occidental","C) Celebrar reunificación","D) Monumento turístico",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La ""Doctrina de Destrucción Mutua Asegurada"" (MAD) era una estrategia de:","A) Guerra convencional","B) Disuasión nuclear","C) Guerrilla","D) Ayuda económica",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La Primavera de Praga (1968) fue:","A) Invasión nazi","B) Intento de reforma aplastado por Pacto de Varsovia","C) Independencia","D) Revolución exitosa",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La guerra de Afganistán (1979-89) enfrentó a URSS contra:","A) EE.UU. directamente","B) Muyahidines apoyados por EE.UU.","C) India","D) Iran",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"La descolonización del Congo Belga vio asesinado a su primer ministro:","A) Nelson Mandela","B) Patrice Lumumba","C) Kwame Nkrumah","D) Jomo Kenyatta",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"El Movimiento de Países No Alineados buscaba:","A) Aliarse con EE.UU.","B) Neutralidad sin adherirse a bloques","C) Tercer bloque militar","D) Restaurar colonialismo",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"La ""Revolución de Terciopelo"" en Checoslovaquia (1989) fue:","A) Guerra civil","B) Transición pacífica del comunismo a democracia","C) Invasión soviética","D) Golpe militar",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"Alemania se reunificó en:","A) 1989","B) 1990","C) 1991","D) 1945",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"La UE surgió de comunidades previas como:","A) OTAN","B) CECA","C) Pacto de Varsovia","D) Sociedad de Naciones",B,Historia Universal,"El mundo actual, La globalización económica y política"
"La revolución digital se basa en:","A) Máquina de vapor","B) Informática e internet","C) Motor combustión","D) Ferrocarril",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"Desafíos actuales incluyen:","A) Inexistencia de conflictos","B) Desigualdades y pandemias globales","C) Aislamiento total","D) Fin de avances tecnológicos",B,Historia Universal,"El mundo actual, La globalización económica y política"
"La Prehistoria se diferencia de la Historia por la falta de:","A) Seres humanos","B) Documentos escritos","C) Herramientas","D) Arte",B,Historia Universal,"La Historia, Periodización de la Historia"
"El siglo de las Luces es el:","A) XVI","B) XVII","C) XVIII","D) XIX",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"La burguesía se oponía al Antiguo Régimen por:","A) Defendía igualdad","B) Privilegios estamentales que limitaban su poder","C) Promovía industrialización","D) Libre comercio",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"Adam Smith criticaba el:","A) Socialismo","B) Feudalismo","C) Mercantilismo","D) Anarquismo",C,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"Soberanía nacional significa que el poder reside en:","A) Un monarca","B) La nación (ciudadanos)","C) Elite militar","D) Asamblea de nobles",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
